text,label,language,source
"Your subscription has been renewed successfully. No action needed. For support, contact helpdesk.",Safe,EN,synthetic
"Attention: You won a reward! Claim your prize by filling the form at [LINK]. For support, contact helpdesk.",Phishing,EN,synthetic
तपाईंको सदस्यता सफलतापूर्वक नवीकरण गरिएको छ। धन्यवाद।,Safe,NP,synthetic
"Your subscription has been renewed successfully. No action needed. For support, contact helpdesk.",Safe,EN,synthetic
"Welcome to our newsletter! Here are this month's updates and tips. If you have questions, reply to this email.",Safe,EN,synthetic
"प्रिय उपयोगकर्ता, आपके खाते में असामान्य गतिविधि मिली। तुरंत [LINK] पर जाकर सत्यापित करें। If you have questions, reply to this email.",Phishing,HI,synthetic
नोटिस: Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from HuggingFace (phishing datasets)),Phishing,HI,HuggingFace (phishing datasets) (sanitized)
"Attention: Password reset requested. Reset using: [LINK]. This expires in 24 hours. If you have questions, reply to this email.",Phishing,EN,synthetic
"सूचना: We received your request. A representative will contact you within 2 business days. (sanitized sample from Kaggle (phishing collections)) For support, contact helpdesk.",Phishing,NP,Kaggle (phishing collections) (sanitized)
"We received your request. A representative will contact you within 2 business days. (sanitized sample from HuggingFace (phishing datasets)) For support, contact helpdesk.",Safe,EN,HuggingFace (phishing datasets) (sanitized)
Welcome to our newsletter! Here are this month's updates and tips. Sent from our secure servers.,Safe,EN,synthetic
Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from Kaggle (phishing collections)),Safe,EN,Kaggle (phishing collections) (sanitized)
नोटिस: Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from HuggingFace (phishing datasets)),Phishing,HI,HuggingFace (phishing datasets) (sanitized)
Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from Enron (public corpus)),Safe,EN,Enron (public corpus) (sanitized)
Subscription confirmation: Your subscription has been activated. Thank you for choosing our service. (sanitized sample from HuggingFace (phishing datasets)),Phishing,EN,HuggingFace (phishing datasets) (sanitized)
"Your subscription has been renewed successfully. No action needed. For support, contact helpdesk.",Safe,EN,synthetic
Action required: Please update your contact details in the HR portal within 48 hours. (sanitized sample from Enron (public corpus)) Sent from our secure servers.,Phishing,EN,Enron (public corpus) (sanitized)
"Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from PhishTank (verified phishing)) For support, contact helpdesk.",Phishing,EN,PhishTank (verified phishing) (sanitized)
"Your subscription has been renewed successfully. No action needed. For support, contact helpdesk.",Safe,EN,synthetic
"Your subscription has been renewed successfully. No action needed. If you have questions, reply to this email.",Safe,EN,synthetic
टिकट अपडेट: आपकी यात्रा का समय बदल दिया गया है। कृपया संलग्न विवरण देखें। Sent from our secure servers.,Safe,HI,synthetic
You won a reward! Claim your prize by filling the form at [LINK].,Phishing,EN,synthetic
"नमस्ते, आपकी बुकिंग सफलतापूर्वक पुष्टि हो गई है। विवरण संलग्न हैं।",Safe,HI,synthetic
"Dear Customer, आपने इनाम जीता! प्राप्त करने के लिए [LINK] पर फॉर्म भरें। For support, contact helpdesk.",Phishing,HI,synthetic
"सूचना: Alert: Unusual sign-in detected. If this wasn't you, reset your password immediately. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Phishing,NP,Enron (public corpus) (sanitized)
Your subscription has been renewed successfully. No action needed. Sent from our secure servers.,Safe,EN,synthetic
"Dear Customer, आपने इनाम जीता! प्राप्त करने के लिए [LINK] पर फॉर्म भरें। If you have questions, reply to this email.",Phishing,HI,synthetic
Your subscription has been renewed successfully. No action needed. Sent from our secure servers.,Safe,EN,synthetic
"नोटिस: Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Safe,HI,Enron (public corpus) (sanitized)
Delivery notice: A package is waiting for pickup at the local office. See attached slip. (sanitized sample from PhishTank (verified phishing)) Sent from our secure servers.,Safe,EN,PhishTank (verified phishing) (sanitized)
Attention: Your payment could not be processed. Update billing information here: [LINK]. Sent from our secure servers.,Phishing,EN,synthetic
"We received your request. A representative will contact you within 2 business days. (sanitized sample from HuggingFace (phishing datasets)) For support, contact helpdesk.",Phishing,EN,HuggingFace (phishing datasets) (sanitized)
नोटिस: Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from HuggingFace (phishing datasets)) Sent from our secure servers.,Safe,HI,HuggingFace (phishing datasets) (sanitized)
हमारे न्यूजलेटर में आपका स्वागत है! इस महीने की मुख्य जानकारी नीचे है। Sent from our secure servers.,Safe,HI,synthetic
"Hello, नए डिवाइस से असामान्य लॉगिन। यदि आपने नहीं किया तो [LINK] पर जाएँ और सुरक्षित करें। If you have questions, reply to this email.",Phishing,HI,synthetic
FYI: Meeting minutes attached. Let me know if any changes are needed. (sanitized sample from Enron (public corpus)) Sent from our secure servers.,Safe,EN,Enron (public corpus) (sanitized)
तपाईंको सदस्यता सफलतापूर्वक नवीकरण गरिएको छ। धन्यवाद।,Safe,NP,synthetic
"Welcome to our newsletter! Here are this month's updates and tips. For support, contact helpdesk.",Safe,EN,synthetic
"Dear Customer, आपने इनाम जीता! प्राप्त करने के लिए [LINK] पर फॉर्म भरें। If you have questions, reply to this email.",Phishing,HI,synthetic
नोटिस: Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from Kaggle (phishing collections)) Sent from our secure servers.,Phishing,HI,Kaggle (phishing collections) (sanitized)
Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from Enron (public corpus)) Sent from our secure servers.,Safe,EN,Enron (public corpus) (sanitized)
"Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from SpamAssassin (public corpus)) If you have questions, reply to this email.",Safe,EN,SpamAssassin (public corpus) (sanitized)
"Welcome to our newsletter! Here are this month's updates and tips. If you have questions, reply to this email.",Safe,EN,synthetic
"Subscription confirmation: Your subscription has been activated. Thank you for choosing our service. (sanitized sample from HuggingFace (phishing datasets)) For support, contact helpdesk.",Phishing,EN,HuggingFace (phishing datasets) (sanitized)
"Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from Kaggle (phishing collections)) If you have questions, reply to this email.",Phishing,EN,Kaggle (phishing collections) (sanitized)
Thank you for your purchase. Your invoice is attached to this email.,Safe,EN,synthetic
नोटिस: Subscription confirmation: Your subscription has been activated. Thank you for choosing our service. (sanitized sample from Enron (public corpus)) Sent from our secure servers.,Phishing,HI,Enron (public corpus) (sanitized)
"Hello, Dear user, we detected suspicious activity on your account. Verify now at [LINK] to avoid suspension. If you have questions, reply to this email.",Phishing,EN,synthetic
"Hello, Your payment could not be processed. Update billing information here: [LINK].",Phishing,EN,synthetic
"आपकी सदस्यता सफलतापूर्वक नवीनीकृत कर दी गई है। धन्यवाद। For support, contact helpdesk.",Safe,HI,synthetic
"Welcome to our newsletter! Here are this month's updates and tips. For support, contact helpdesk.",Safe,EN,synthetic
"Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from PhishTank (verified phishing)) For support, contact helpdesk.",Safe,EN,PhishTank (verified phishing) (sanitized)
Your subscription has been renewed successfully. No action needed.,Safe,EN,synthetic
"Hello, your order #57278 has been shipped. Track it using the tracking number attached. Sent from our secure servers.",Safe,EN,synthetic
"Attention: Your payment could not be processed. Update billing information here: [LINK]. If you have questions, reply to this email.",Phishing,EN,synthetic
"Hello, your order #36381 has been shipped. Track it using the tracking number attached. Sent from our secure servers.",Safe,EN,synthetic
"नोटिस: Delivery notice: A package is waiting for pickup at the local office. See attached slip. (sanitized sample from Kaggle (phishing collections)) If you have questions, reply to this email.",Safe,HI,Kaggle (phishing collections) (sanitized)
Attention: Unusual login attempt from a new device. Secure your account here: [LINK]. Sent from our secure servers.,Phishing,EN,synthetic
"Your payment could not be processed. Update billing information here: [LINK]. For support, contact helpdesk.",Phishing,EN,synthetic
"नोटिस: We received your request. A representative will contact you within 2 business days. (sanitized sample from Kaggle (phishing collections)) For support, contact helpdesk.",Safe,HI,Kaggle (phishing collections) (sanitized)
"Subscription confirmation: Your subscription has been activated. Thank you for choosing our service. (sanitized sample from HuggingFace (phishing datasets)) For support, contact helpdesk.",Phishing,EN,HuggingFace (phishing datasets) (sanitized)
"Dear Customer, Your payment could not be processed. Update billing information here: [LINK]. For support, contact helpdesk.",Phishing,EN,synthetic
You won a reward! Claim your prize by filling the form at [LINK]. Sent from our secure servers.,Phishing,EN,synthetic
Subscription confirmation: Your subscription has been activated. Thank you for choosing our service. (sanitized sample from Kaggle (phishing collections)) Sent from our secure servers.,Phishing,EN,Kaggle (phishing collections) (sanitized)
"Dear Customer, You won a reward! Claim your prize by filling the form at [LINK]. For support, contact helpdesk.",Phishing,EN,synthetic
"नोटिस: We received your request. A representative will contact you within 2 business days. (sanitized sample from Enron (public corpus)) For support, contact helpdesk.",Safe,HI,Enron (public corpus) (sanitized)
"Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from Kaggle (phishing collections)) For support, contact helpdesk.",Phishing,EN,Kaggle (phishing collections) (sanitized)
"Alert: Unusual sign-in detected. If this wasn't you, reset your password immediately. (sanitized sample from SpamAssassin (public corpus)) Sent from our secure servers.",Phishing,EN,SpamAssassin (public corpus) (sanitized)
"Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from Kaggle (phishing collections)) If you have questions, reply to this email.",Safe,EN,Kaggle (phishing collections) (sanitized)
Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from SpamAssassin (public corpus)) Sent from our secure servers.,Phishing,EN,SpamAssassin (public corpus) (sanitized)
"Dear Customer, पासवर्ड रीसेट का अनुरोध मिला। इसे 24 घंटे में [LINK] से रीसेट करें। Sent from our secure servers.",Phishing,HI,synthetic
"Hello, your order #60625 has been shipped. Track it using the tracking number attached.",Safe,EN,synthetic
"प्रिय उपयोगकर्ता, आपके खाते में असामान्य गतिविधि मिली। तुरंत [LINK] पर जाकर सत्यापित करें। Sent from our secure servers.",Phishing,HI,synthetic
"नमस्ते, आपकी बुकिंग सफलतापूर्वक पुष्टि हो गई है। विवरण संलग्न हैं। For support, contact helpdesk.",Safe,HI,synthetic
"Hello, You won a reward! Claim your prize by filling the form at [LINK]. Sent from our secure servers.",Phishing,EN,synthetic
"Delivery notice: A package is waiting for pickup at the local office. See attached slip. (sanitized sample from Kaggle (phishing collections)) If you have questions, reply to this email.",Phishing,EN,Kaggle (phishing collections) (sanitized)
"Your subscription has been renewed successfully. No action needed. If you have questions, reply to this email.",Safe,EN,synthetic
"Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from PhishTank (verified phishing)) For support, contact helpdesk.",Phishing,EN,PhishTank (verified phishing) (sanitized)
"नमस्कार, तपाईंको बुकिंग सफल भयो। विवरण यस ईमेलमा संलग्न छन्। For support, contact helpdesk.",Safe,NP,synthetic
"Dear Customer, नयाँ उपकरणबाट असामान्य लगइन। यदि यो तपाईंले गर्नुभएको होइन भने [LINK] मा गएर सुरक्षित गर्नुहोस्। For support, contact helpdesk.",Phishing,NP,synthetic
"Reminder: Team meeting tomorrow at 10:00 AM. Agenda attached. If you have questions, reply to this email.",Safe,EN,synthetic
"Dear Customer, Unusual login attempt from a new device. Secure your account here: [LINK]. For support, contact helpdesk.",Phishing,EN,synthetic
"Action required: Please update your contact details in the HR portal within 48 hours. (sanitized sample from HuggingFace (phishing datasets)) For support, contact helpdesk.",Phishing,EN,HuggingFace (phishing datasets) (sanitized)
"Your subscription has been renewed successfully. No action needed. For support, contact helpdesk.",Safe,EN,synthetic
"नोटिस: Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from HuggingFace (phishing datasets)) For support, contact helpdesk.",Phishing,HI,HuggingFace (phishing datasets) (sanitized)
"Password reset requested. Reset using: [LINK]. This expires in 24 hours. For support, contact helpdesk.",Phishing,EN,synthetic
"Hello, पासवर्ड रीसेट का अनुरोध मिला। इसे 24 घंटे में [LINK] से रीसेट करें। If you have questions, reply to this email.",Phishing,HI,synthetic
"Hello, आपका भुगतान असफल रहा। कृपया [LINK] पर जाकर अपना बिलिंग विवरण अपडेट करें। If you have questions, reply to this email.",Phishing,HI,synthetic
Attention: You won a reward! Claim your prize by filling the form at [LINK].,Phishing,EN,synthetic
"टिकट सूचना: तपाईंको यात्रा समय परिवर्तन गरिएको छ। कृपया विवरण जाँच गर्नुहोस्। For support, contact helpdesk.",Safe,NP,synthetic
"Dear Customer, आपका भुगतान असफल रहा। कृपया [LINK] पर जाकर अपना बिलिंग विवरण अपडेट करें। Sent from our secure servers.",Phishing,HI,synthetic
Reminder: Team meeting tomorrow at 10:00 AM. Agenda attached.,Safe,EN,synthetic
"Alert: Unusual sign-in detected. If this wasn't you, reset your password immediately. (sanitized sample from SpamAssassin (public corpus)) If you have questions, reply to this email.",Phishing,EN,SpamAssassin (public corpus) (sanitized)
Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from PhishTank (verified phishing)) Sent from our secure servers.,Safe,EN,PhishTank (verified phishing) (sanitized)
स्मरण: परियोजना की समयसीमा अगले हफ्ते है। कृपया अपडेट साझा करें। Sent from our secure servers.,Safe,HI,synthetic
"Reminder: Team meeting tomorrow at 10:00 AM. Agenda attached. If you have questions, reply to this email.",Safe,EN,synthetic
नोटिस: Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from SpamAssassin (public corpus)),Safe,HI,SpamAssassin (public corpus) (sanitized)
नोटिस: Action required: Please update your contact details in the HR portal within 48 hours. (sanitized sample from SpamAssassin (public corpus)),Safe,HI,SpamAssassin (public corpus) (sanitized)
Your subscription has been renewed successfully. No action needed.,Safe,EN,synthetic
Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from Enron (public corpus)),Safe,EN,Enron (public corpus) (sanitized)
नए डिवाइस से असामान्य लॉगिन। यदि आपने नहीं किया तो [LINK] पर जाएँ और सुरक्षित करें। Sent from our secure servers.,Phishing,HI,synthetic
"आपकी सदस्यता सफलतापूर्वक नवीनीकृत कर दी गई है। धन्यवाद। For support, contact helpdesk.",Safe,HI,synthetic
"Hello, नए डिवाइस से असामान्य लॉगिन। यदि आपने नहीं किया तो [LINK] पर जाएँ और सुरक्षित करें। Sent from our secure servers.",Phishing,HI,synthetic
Password reset requested. Reset using: [LINK]. This expires in 24 hours. Sent from our secure servers.,Phishing,EN,synthetic
तपाईंले पुरस्कार जित्नुभयो! दाबी गर्न [LINK] मा फर्म भर्नुहोस्। Sent from our secure servers.,Phishing,NP,synthetic
"Thank you for your purchase. Your invoice is attached to this email. If you have questions, reply to this email.",Safe,EN,synthetic
"Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Safe,EN,Enron (public corpus) (sanitized)
"आपकी सदस्यता सफलतापूर्वक नवीनीकृत कर दी गई है। धन्यवाद। If you have questions, reply to this email.",Safe,HI,synthetic
Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from Kaggle (phishing collections)),Safe,EN,Kaggle (phishing collections) (sanitized)
"Attention: Unusual login attempt from a new device. Secure your account here: [LINK]. If you have questions, reply to this email.",Phishing,EN,synthetic
"Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Safe,EN,Enron (public corpus) (sanitized)
"Reminder: Team meeting tomorrow at 10:00 AM. Agenda attached. For support, contact helpdesk.",Safe,EN,synthetic
स्मरण: प्रस्तुति मिति नजिकै छ। तयारीहरू साझा गर्नुहोस्। Sent from our secure servers.,Safe,NP,synthetic
Action required: Please update your contact details in the HR portal within 48 hours. (sanitized sample from SpamAssassin (public corpus)),Phishing,EN,SpamAssassin (public corpus) (sanitized)
"Hello, Unusual login attempt from a new device. Secure your account here: [LINK]. If you have questions, reply to this email.",Phishing,EN,synthetic
"पासवर्ड रीसेट का अनुरोध मिला। इसे 24 घंटे में [LINK] से रीसेट करें। For support, contact helpdesk.",Phishing,HI,synthetic
Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from Kaggle (phishing collections)),Safe,EN,Kaggle (phishing collections) (sanitized)
"Hello, your order #38838 has been shipped. Track it using the tracking number attached. For support, contact helpdesk.",Safe,EN,synthetic
Welcome to our newsletter! Here are this month's updates and tips.,Safe,EN,synthetic
Attention: Your payment could not be processed. Update billing information here: [LINK]. Sent from our secure servers.,Phishing,EN,synthetic
"Attention: Your payment could not be processed. Update billing information here: [LINK]. For support, contact helpdesk.",Phishing,EN,synthetic
"Hello, नयाँ उपकरणबाट असामान्य लगइन। यदि यो तपाईंले गर्नुभएको होइन भने [LINK] मा गएर सुरक्षित गर्नुहोस्। For support, contact helpdesk.",Phishing,NP,synthetic
Attention: आपने इनाम जीता! प्राप्त करने के लिए [LINK] पर फॉर्म भरें।,Phishing,HI,synthetic
"Dear Customer, Password reset requested. Reset using: [LINK]. This expires in 24 hours. If you have questions, reply to this email.",Phishing,EN,synthetic
Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from Enron (public corpus)),Safe,EN,Enron (public corpus) (sanitized)
Your subscription has been renewed successfully. No action needed.,Safe,EN,synthetic
"FYI: Meeting minutes attached. Let me know if any changes are needed. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Safe,EN,Enron (public corpus) (sanitized)
Password reset requested. Reset using: [LINK]. This expires in 24 hours.,Phishing,EN,synthetic
Reminder: Team meeting tomorrow at 10:00 AM. Agenda attached.,Safe,EN,synthetic
"Attention: Your payment could not be processed. Update billing information here: [LINK]. If you have questions, reply to this email.",Phishing,EN,synthetic
"Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from PhishTank (verified phishing)) If you have questions, reply to this email.",Safe,EN,PhishTank (verified phishing) (sanitized)
